meterNumber;center;zone;sector;routeOrder;subscriberNumber;police;address
MT-KOU-0037;Niamey;Koubia;Sud;37;ABN-KOU-0037;PL-KOU-0037;Niamey, Koubia, Secteur Sud, Rue 37
MT-KOU-0038;Niamey;Koubia;Sud;38;ABN-KOU-0038;PL-KOU-0038;Niamey, Koubia, Secteur Sud, Rue 38
MT-KOU-0039;Niamey;Koubia;Sud;39;ABN-KOU-0039;PL-KOU-0039;Niamey, Koubia, Secteur Sud, Rue 39
MT-KOU-0040;Niamey;Koubia;Sud;40;ABN-KOU-0040;PL-KOU-0040;Niamey, Koubia, Secteur Sud, Rue 40
MT-KAL-0001;Niamey;Kalley;Amirou;1;ABN-KAL-0001;PL-KAL-0001;Niamey, Kalley, Secteur Amirou, Rue 01
MT-KAL-0002;Niamey;Kalley;Amirou;2;ABN-KAL-0002;PL-KAL-0002;Niamey, Kalley, Secteur Amirou, Rue 02
MT-KAL-0003;Niamey;Kalley;Amirou;3;ABN-KAL-0003;PL-KAL-0003;Niamey, Kalley, Secteur Amirou, Rue 03
MT-KAL-0004;Niamey;Kalley;Amirou;4;ABN-KAL-0004;PL-KAL-0004;Niamey, Kalley, Secteur Amirou, Rue 04
MT-KAL-0005;Niamey;Kalley;Amirou;5;ABN-KAL-0005;PL-KAL-0005;Niamey, Kalley, Secteur Amirou, Rue 05
MT-KAL-0006;Niamey;Kalley;Amirou;6;ABN-KAL-0006;PL-KAL-0006;Niamey, Kalley, Secteur Amirou, Rue 06
MT-KAL-0007;Niamey;Kalley;Amirou;7;ABN-KAL-0007;PL-KAL-0007;Niamey, Kalley, Secteur Amirou, Rue 07
MT-KAL-0008;Niamey;Kalley;Amirou;8;ABN-KAL-0008;PL-KAL-0008;Niamey, Kalley, Secteur Amirou, Rue 08
MT-KAL-0009;Niamey;Kalley;Amirou;9;ABN-KAL-0009;PL-KAL-0009;Niamey, Kalley, Secteur Amirou, Rue 09
MT-KAL-0010;Niamey;Kalley;Amirou;10;ABN-KAL-0010;PL-KAL-0010;Niamey, Kalley, Secteur Amirou, Rue 10
MT-KAL-0011;Niamey;Kalley;Amirou;11;ABN-KAL-0011;PL-KAL-0011;Niamey, Kalley, Secteur Amirou, Rue 11
MT-KAL-0012;Niamey;Kalley;Amirou;12;ABN-KAL-0012;PL-KAL-0012;Niamey, Kalley, Secteur Amirou, Rue 12
MT-KAL-0013;Niamey;Kalley;Amirou;13;ABN-KAL-0013;PL-KAL-0013;Niamey, Kalley, Secteur Amirou, Rue 13
MT-KAL-0014;Niamey;Kalley;Amirou;14;ABN-KAL-0014;PL-KAL-0014;Niamey, Kalley, Secteur Amirou, Rue 14
MT-KAL-0015;Niamey;Kalley;Amirou;15;ABN-KAL-0015;PL-KAL-0015;Niamey, Kalley, Secteur Amirou, Rue 15
MT-KAL-0016;Niamey;Kalley;Amirou;16;ABN-KAL-0016;PL-KAL-0016;Niamey, Kalley, Secteur Amirou, Rue 16
MT-KAL-0017;Niamey;Kalley;Amirou;17;ABN-KAL-0017;PL-KAL-0017;Niamey, Kalley, Secteur Amirou, Rue 17
MT-KAL-0018;Niamey;Kalley;Amirou;18;ABN-KAL-0018;PL-KAL-0018;Niamey, Kalley, Secteur Amirou, Rue 18
MT-KAL-0019;Niamey;Kalley;Amirou;19;ABN-KAL-0019;PL-KAL-0019;Niamey, Kalley, Secteur Amirou, Rue 19
MT-KAL-0020;Niamey;Kalley;Amirou;20;ABN-KAL-0020;PL-KAL-0020;Niamey, Kalley, Secteur Amirou, Rue 20
MT-KAL-0021;Niamey;Kalley;Amirou;21;ABN-KAL-0021;PL-KAL-0021;Niamey, Kalley, Secteur Amirou, Rue 21
MT-KAL-0022;Niamey;Kalley;Amirou;22;ABN-KAL-0022;PL-KAL-0022;Niamey, Kalley, Secteur Amirou, Rue 22
MT-KAL-0023;Niamey;Kalley;Amirou;23;ABN-KAL-0023;PL-KAL-0023;Niamey, Kalley, Secteur Amirou, Rue 23
MT-KAL-0024;Niamey;Kalley;Amirou;24;ABN-KAL-0024;PL-KAL-0024;Niamey, Kalley, Secteur Amirou, Rue 24
MT-KAL-0025;Niamey;Kalley;Amirou;25;ABN-KAL-0025;PL-KAL-0025;Niamey, Kalley, Secteur Amirou, Rue 25
MT-KAL-0026;Niamey;Kalley;Amirou;26;ABN-KAL-0026;PL-KAL-0026;Niamey, Kalley, Secteur Amirou, Rue 26
MT-KAL-0027;Niamey;Kalley;Amirou;27;ABN-KAL-0027;PL-KAL-0027;Niamey, Kalley, Secteur Amirou, Rue 27
MT-KAL-0028;Niamey;Kalley;Amirou;28;ABN-KAL-0028;PL-KAL-0028;Niamey, Kalley, Secteur Amirou, Rue 28
MT-KAL-0029;Niamey;Kalley;Amirou;29;ABN-KAL-0029;PL-KAL-0029;Niamey, Kalley, Secteur Amirou, Rue 29
MT-KAL-0030;Niamey;Kalley;Amirou;30;ABN-KAL-0030;PL-KAL-0030;Niamey, Kalley, Secteur Amirou, Rue 30
MT-KAL-0031;Niamey;Kalley;Amirou;31;ABN-KAL-0031;PL-KAL-0031;Niamey, Kalley, Secteur Amirou, Rue 31
MT-KAL-0032;Niamey;Kalley;Amirou;32;ABN-KAL-0032;PL-KAL-0032;Niamey, Kalley, Secteur Amirou, Rue 32
MT-KAL-0033;Niamey;Kalley;Amirou;33;ABN-KAL-0033;PL-KAL-0033;Niamey, Kalley, Secteur Amirou, Rue 33
MT-KAL-0034;Niamey;Kalley;Amirou;34;ABN-KAL-0034;PL-KAL-0034;Niamey, Kalley, Secteur Amirou, Rue 34
MT-KAL-0035;Niamey;Kalley;Amirou;35;ABN-KAL-0035;PL-KAL-0035;Niamey, Kalley, Secteur Amirou, Rue 35
MT-KAL-0036;Niamey;Kalley;Amirou;36;ABN-KAL-0036;PL-KAL-0036;Niamey, Kalley, Secteur Amirou, Rue 36
MT-KAL-0037;Niamey;Kalley;Amirou;37;ABN-KAL-0037;PL-KAL-0037;Niamey, Kalley, Secteur Amirou, Rue 37
MT-KAL-0038;Niamey;Kalley;Amirou;38;ABN-KAL-0038;PL-KAL-0038;Niamey, Kalley, Secteur Amirou, Rue 38
MT-KAL-0039;Niamey;Kalley;Amirou;39;ABN-KAL-0039;PL-KAL-0039;Niamey, Kalley, Secteur Amirou, Rue 39
MT-KAL-0040;Niamey;Kalley;Amirou;40;ABN-KAL-0040;PL-KAL-0040;Niamey, Kalley, Secteur Amirou, Rue 40
MT-PLA-0001;Niamey;Plateau;Centre;1;ABN-PLA-0001;PL-PLA-0001;Niamey, Plateau, Secteur Centre, Rue 01
MT-PLA-0002;Niamey;Plateau;Centre;2;ABN-PLA-0002;PL-PLA-0002;Niamey, Plateau, Secteur Centre, Rue 02
MT-PLA-0003;Niamey;Plateau;Centre;3;ABN-PLA-0003;PL-PLA-0003;Niamey, Plateau, Secteur Centre, Rue 03
MT-PLA-0004;Niamey;Plateau;Centre;4;ABN-PLA-0004;PL-PLA-0004;Niamey, Plateau, Secteur Centre, Rue 04
MT-PLA-0005;Niamey;Plateau;Centre;5;ABN-PLA-0005;PL-PLA-0005;Niamey, Plateau, Secteur Centre, Rue 05
MT-PLA-0006;Niamey;Plateau;Centre;6;ABN-PLA-0006;PL-PLA-0006;Niamey, Plateau, Secteur Centre, Rue 06
MT-PLA-0007;Niamey;Plateau;Centre;7;ABN-PLA-0007;PL-PLA-0007;Niamey, Plateau, Secteur Centre, Rue 07
MT-PLA-0008;Niamey;Plateau;Centre;8;ABN-PLA-0008;PL-PLA-0008;Niamey, Plateau, Secteur Centre, Rue 08
MT-PLA-0009;Niamey;Plateau;Centre;9;ABN-PLA-0009;PL-PLA-0009;Niamey, Plateau, Secteur Centre, Rue 09
MT-PLA-0010;Niamey;Plateau;Centre;10;ABN-PLA-0010;PL-PLA-0010;Niamey, Plateau, Secteur Centre, Rue 10
MT-PLA-0011;Niamey;Plateau;Centre;11;ABN-PLA-0011;PL-PLA-0011;Niamey, Plateau, Secteur Centre, Rue 11
MT-PLA-0012;Niamey;Plateau;Centre;12;ABN-PLA-0012;PL-PLA-0012;Niamey, Plateau, Secteur Centre, Rue 12
MT-PLA-0013;Niamey;Plateau;Centre;13;ABN-PLA-0013;PL-PLA-0013;Niamey, Plateau, Secteur Centre, Rue 13
MT-PLA-0014;Niamey;Plateau;Centre;14;ABN-PLA-0014;PL-PLA-0014;Niamey, Plateau, Secteur Centre, Rue 14
MT-PLA-0015;Niamey;Plateau;Centre;15;ABN-PLA-0015;PL-PLA-0015;Niamey, Plateau, Secteur Centre, Rue 15
MT-PLA-0016;Niamey;Plateau;Centre;16;ABN-PLA-0016;PL-PLA-0016;Niamey, Plateau, Secteur Centre, Rue 16
MT-PLA-0017;Niamey;Plateau;Centre;17;ABN-PLA-0017;PL-PLA-0017;Niamey, Plateau, Secteur Centre, Rue 17
MT-PLA-0018;Niamey;Plateau;Centre;18;ABN-PLA-0018;PL-PLA-0018;Niamey, Plateau, Secteur Centre, Rue 18
MT-PLA-0019;Niamey;Plateau;Centre;19;ABN-PLA-0019;PL-PLA-0019;Niamey, Plateau, Secteur Centre, Rue 19
MT-PLA-0020;Niamey;Plateau;Centre;20;ABN-PLA-0020;PL-PLA-0020;Niamey, Plateau, Secteur Centre, Rue 20
MT-PLA-0021;Niamey;Plateau;Centre;21;ABN-PLA-0021;PL-PLA-0021;Niamey, Plateau, Secteur Centre, Rue 21
MT-PLA-0022;Niamey;Plateau;Centre;22;ABN-PLA-0022;PL-PLA-0022;Niamey, Plateau, Secteur Centre, Rue 22
MT-PLA-0023;Niamey;Plateau;Centre;23;ABN-PLA-0023;PL-PLA-0023;Niamey, Plateau, Secteur Centre, Rue 23
MT-PLA-0024;Niamey;Plateau;Centre;24;ABN-PLA-0024;PL-PLA-0024;Niamey, Plateau, Secteur Centre, Rue 24
MT-PLA-0025;Niamey;Plateau;Centre;25;ABN-PLA-0025;PL-PLA-0025;Niamey, Plateau, Secteur Centre, Rue 25
MT-PLA-0026;Niamey;Plateau;Centre;26;ABN-PLA-0026;PL-PLA-0026;Niamey, Plateau, Secteur Centre, Rue 26
MT-PLA-0027;Niamey;Plateau;Centre;27;ABN-PLA-0027;PL-PLA-0027;Niamey, Plateau, Secteur Centre, Rue 27
MT-PLA-0028;Niamey;Plateau;Centre;28;ABN-PLA-0028;PL-PLA-0028;Niamey, Plateau, Secteur Centre, Rue 28
MT-PLA-0029;Niamey;Plateau;Centre;29;ABN-PLA-0029;PL-PLA-0029;Niamey, Plateau, Secteur Centre, Rue 29
MT-PLA-0030;Niamey;Plateau;Centre;30;ABN-PLA-0030;PL-PLA-0030;Niamey, Plateau, Secteur Centre, Rue 30
MT-PLA-0031;Niamey;Plateau;Centre;31;ABN-PLA-0031;PL-PLA-0031;Niamey, Plateau, Secteur Centre, Rue 31
MT-PLA-0032;Niamey;Plateau;Centre;32;ABN-PLA-0032;PL-PLA-0032;Niamey, Plateau, Secteur Centre, Rue 32
MT-PLA-0033;Niamey;Plateau;Centre;33;ABN-PLA-0033;PL-PLA-0033;Niamey, Plateau, Secteur Centre, Rue 33
MT-PLA-0034;Niamey;Plateau;Centre;34;ABN-PLA-0034;PL-PLA-0034;Niamey, Plateau, Secteur Centre, Rue 34
MT-PLA-0035;Niamey;Plateau;Centre;35;ABN-PLA-0035;PL-PLA-0035;Niamey, Plateau, Secteur Centre, Rue 35
MT-PLA-0036;Niamey;Plateau;Centre;36;ABN-PLA-0036;PL-PLA-0036;Niamey, Plateau, Secteur Centre, Rue 36
MT-PLA-0037;Niamey;Plateau;Centre;37;ABN-PLA-0037;PL-PLA-0037;Niamey, Plateau, Secteur Centre, Rue 37
MT-PLA-0038;Niamey;Plateau;Centre;38;ABN-PLA-0038;PL-PLA-0038;Niamey, Plateau, Secteur Centre, Rue 38
MT-PLA-0039;Niamey;Plateau;Centre;39;ABN-PLA-0039;PL-PLA-0039;Niamey, Plateau, Secteur Centre, Rue 39
MT-PLA-0040;Niamey;Plateau;Centre;40;ABN-PLA-0040;PL-PLA-0040;Niamey, Plateau, Secteur Centre, Rue 40
MT-LAZ-0001;Niamey;Lazarey;Nord;1;ABN-LAZ-0001;PL-LAZ-0001;Niamey, Lazarey, Secteur Nord, Rue 01
MT-LAZ-0002;Niamey;Lazarey;Nord;2;ABN-LAZ-0002;PL-LAZ-0002;Niamey, Lazarey, Secteur Nord, Rue 02
MT-LAZ-0003;Niamey;Lazarey;Nord;3;ABN-LAZ-0003;PL-LAZ-0003;Niamey, Lazarey, Secteur Nord, Rue 03
MT-LAZ-0004;Niamey;Lazarey;Nord;4;ABN-LAZ-0004;PL-LAZ-0004;Niamey, Lazarey, Secteur Nord, Rue 04
MT-LAZ-0005;Niamey;Lazarey;Nord;5;ABN-LAZ-0005;PL-LAZ-0005;Niamey, Lazarey, Secteur Nord, Rue 05
MT-LAZ-0006;Niamey;Lazarey;Nord;6;ABN-LAZ-0006;PL-LAZ-0006;Niamey, Lazarey, Secteur Nord, Rue 06
MT-LAZ-0007;Niamey;Lazarey;Nord;7;ABN-LAZ-0007;PL-LAZ-0007;Niamey, Lazarey, Secteur Nord, Rue 07
MT-LAZ-0008;Niamey;Lazarey;Nord;8;ABN-LAZ-0008;PL-LAZ-0008;Niamey, Lazarey, Secteur Nord, Rue 08
MT-LAZ-0009;Niamey;Lazarey;Nord;9;ABN-LAZ-0009;PL-LAZ-0009;Niamey, Lazarey, Secteur Nord, Rue 09
MT-LAZ-0010;Niamey;Lazarey;Nord;10;ABN-LAZ-0010;PL-LAZ-0010;Niamey, Lazarey, Secteur Nord, Rue 10
MT-LAZ-0011;Niamey;Lazarey;Nord;11;ABN-LAZ-0011;PL-LAZ-0011;Niamey, Lazarey, Secteur Nord, Rue 11
MT-LAZ-0012;Niamey;Lazarey;Nord;12;ABN-LAZ-0012;PL-LAZ-0012;Niamey, Lazarey, Secteur Nord, Rue 12
MT-LAZ-0013;Niamey;Lazarey;Nord;13;ABN-LAZ-0013;PL-LAZ-0013;Niamey, Lazarey, Secteur Nord, Rue 13
MT-LAZ-0014;Niamey;Lazarey;Nord;14;ABN-LAZ-0014;PL-LAZ-0014;Niamey, Lazarey, Secteur Nord, Rue 14
MT-LAZ-0015;Niamey;Lazarey;Nord;15;ABN-LAZ-0015;PL-LAZ-0015;Niamey, Lazarey, Secteur Nord, Rue 15
MT-LAZ-0016;Niamey;Lazarey;Nord;16;ABN-LAZ-0016;PL-LAZ-0016;Niamey, Lazarey, Secteur Nord, Rue 16
MT-LAZ-0017;Niamey;Lazarey;Nord;17;ABN-LAZ-0017;PL-LAZ-0017;Niamey, Lazarey, Secteur Nord, Rue 17
MT-LAZ-0018;Niamey;Lazarey;Nord;18;ABN-LAZ-0018;PL-LAZ-0018;Niamey, Lazarey, Secteur Nord, Rue 18
MT-LAZ-0019;Niamey;Lazarey;Nord;19;ABN-LAZ-0019;PL-LAZ-0019;Niamey, Lazarey, Secteur Nord, Rue 19
MT-LAZ-0020;Niamey;Lazarey;Nord;20;ABN-LAZ-0020;PL-LAZ-0020;Niamey, Lazarey, Secteur Nord, Rue 20
MT-LAZ-0021;Niamey;Lazarey;Nord;21;ABN-LAZ-0021;PL-LAZ-0021;Niamey, Lazarey, Secteur Nord, Rue 21
MT-LAZ-0022;Niamey;Lazarey;Nord;22;ABN-LAZ-0022;PL-LAZ-0022;Niamey, Lazarey, Secteur Nord, Rue 22
MT-LAZ-0023;Niamey;Lazarey;Nord;23;ABN-LAZ-0023;PL-LAZ-0023;Niamey, Lazarey, Secteur Nord, Rue 23
MT-LAZ-0024;Niamey;Lazarey;Nord;24;ABN-LAZ-0024;PL-LAZ-0024;Niamey, Lazarey, Secteur Nord, Rue 24
MT-LAZ-0025;Niamey;Lazarey;Nord;25;ABN-LAZ-0025;PL-LAZ-0025;Niamey, Lazarey, Secteur Nord, Rue 25
MT-LAZ-0026;Niamey;Lazarey;Nord;26;ABN-LAZ-0026;PL-LAZ-0026;Niamey, Lazarey, Secteur Nord, Rue 26
MT-LAZ-0027;Niamey;Lazarey;Nord;27;ABN-LAZ-0027;PL-LAZ-0027;Niamey, Lazarey, Secteur Nord, Rue 27
MT-LAZ-0028;Niamey;Lazarey;Nord;28;ABN-LAZ-0028;PL-LAZ-0028;Niamey, Lazarey, Secteur Nord, Rue 28
MT-LAZ-0029;Niamey;Lazarey;Nord;29;ABN-LAZ-0029;PL-LAZ-0029;Niamey, Lazarey, Secteur Nord, Rue 29
MT-LAZ-0030;Niamey;Lazarey;Nord;30;ABN-LAZ-0030;PL-LAZ-0030;Niamey, Lazarey, Secteur Nord, Rue 30
