phone,meterNumber,subscriberNumber,police,name,address,tariffCode,category,grouping,center,zone,sector,oldIndex
91000043,MT-KOU-0003,ABN-KOU-0003,PL-KOU-0003,Client Koubia Sud 03,"Niamey, Koubia, Secteur Sud, Rue 03",T3,01,GRP-KOU,Niamey,Koubia,Sud,1430
91000044,MT-KOU-0004,ABN-KOU-0004,PL-KOU-0004,Client Koubia Sud 04,"Niamey, Koubia, Secteur Sud, Rue 04",T1,02,GRP-KOU,Niamey,Koubia,Sud,1440
91000045,MT-KOU-0005,ABN-KOU-0005,PL-KOU-0005,Client Koubia Sud 05,"Niamey, Koubia, Secteur Sud, Rue 05",T2,01,GRP-KOU,Niamey,Koubia,Sud,1450
91000046,MT-KOU-0006,ABN-KOU-0006,PL-KOU-0006,Client Koubia Sud 06,"Niamey, Koubia, Secteur Sud, Rue 06",T3,02,GRP-KOU,Niamey,Koubia,Sud,1460
91000047,MT-KOU-0007,ABN-KOU-0007,PL-KOU-0007,Client Koubia Sud 07,"Niamey, Koubia, Secteur Sud, Rue 07",T1,01,GRP-KOU,Niamey,Koubia,Sud,1470
91000048,MT-KOU-0008,ABN-KOU-0008,PL-KOU-0008,Client Koubia Sud 08,"Niamey, Koubia, Secteur Sud, Rue 08",T2,02,GRP-KOU,Niamey,Koubia,Sud,1480
91000049,MT-KOU-0009,ABN-KOU-0009,PL-KOU-0009,Client Koubia Sud 09,"Niamey, Koubia, Secteur Sud, Rue 09",T3,01,GRP-KOU,Niamey,Koubia,Sud,1490
91000050,MT-KOU-0010,ABN-KOU-0010,PL-KOU-0010,Client Koubia Sud 10,"Niamey, Koubia, Secteur Sud, Rue 10",T1,02,GRP-KOU,Niamey,Koubia,Sud,1500
91000051,MT-KOU-0011,ABN-KOU-0011,PL-KOU-0011,Client Koubia Sud 11,"Niamey, Koubia, Secteur Sud, Rue 11",T2,01,GRP-KOU,Niamey,Koubia,Sud,1510
91000052,MT-KOU-0012,ABN-KOU-0012,PL-KOU-0012,Client Koubia Sud 12,"Niamey, Koubia, Secteur Sud, Rue 12",T3,02,GRP-KOU,Niamey,Koubia,Sud,1520
91000053,MT-KOU-0013,ABN-KOU-0013,PL-KOU-0013,Client Koubia Sud 13,"Niamey, Koubia, Secteur Sud, Rue 13",T1,01,GRP-KOU,Niamey,Koubia,Sud,1530
91000054,MT-KOU-0014,ABN-KOU-0014,PL-KOU-0014,Client Koubia Sud 14,"Niamey, Koubia, Secteur Sud, Rue 14",T2,02,GRP-KOU,Niamey,Koubia,Sud,1540
91000055,MT-KOU-0015,ABN-KOU-0015,PL-KOU-0015,Client Koubia Sud 15,"Niamey, Koubia, Secteur Sud, Rue 15",T3,01,GRP-KOU,Niamey,Koubia,Sud,1550
91000056,MT-KOU-0016,ABN-KOU-0016,PL-KOU-0016,Client Koubia Sud 16,"Niamey, Koubia, Secteur Sud, Rue 16",T1,02,GRP-KOU,Niamey,Koubia,Sud,1560
91000057,MT-KOU-0017,ABN-KOU-0017,PL-KOU-0017,Client Koubia Sud 17,"Niamey, Koubia, Secteur Sud, Rue 17",T2,01,GRP-KOU,Niamey,Koubia,Sud,1570
91000058,MT-KOU-0018,ABN-KOU-0018,PL-KOU-0018,Client Koubia Sud 18,"Niamey, Koubia, Secteur Sud, Rue 18",T3,02,GRP-KOU,Niamey,Koubia,Sud,1580
91000059,MT-KOU-0019,ABN-KOU-0019,PL-KOU-0019,Client Koubia Sud 19,"Niamey, Koubia, Secteur Sud, Rue 19",T1,01,GRP-KOU,Niamey,Koubia,Sud,1590
91000060,MT-KOU-0020,ABN-KOU-0020,PL-KOU-0020,Client Koubia Sud 20,"Niamey, Koubia, Secteur Sud, Rue 20",T2,02,GRP-KOU,Niamey,Koubia,Sud,1600
91000061,MT-KOU-0021,ABN-KOU-0021,PL-KOU-0021,Client Koubia Sud 21,"Niamey, Koubia, Secteur Sud, Rue 21",T3,01,GRP-KOU,Niamey,Koubia,Sud,1610
91000062,MT-KOU-0022,ABN-KOU-0022,PL-KOU-0022,Client Koubia Sud 22,"Niamey, Koubia, Secteur Sud, Rue 22",T1,02,GRP-KOU,Niamey,Koubia,Sud,1620
91000063,MT-KOU-0023,ABN-KOU-0023,PL-KOU-0023,Client Koubia Sud 23,"Niamey, Koubia, Secteur Sud, Rue 23",T2,01,GRP-KOU,Niamey,Koubia,Sud,1630
91000064,MT-KOU-0024,ABN-KOU-0024,PL-KOU-0024,Client Koubia Sud 24,"Niamey, Koubia, Secteur Sud, Rue 24",T3,02,GRP-KOU,Niamey,Koubia,Sud,1640
91000065,MT-KOU-0025,ABN-KOU-0025,PL-KOU-0025,Client Koubia Sud 25,"Niamey, Koubia, Secteur Sud, Rue 25",T1,01,GRP-KOU,Niamey,Koubia,Sud,1650
91000066,MT-KOU-0026,ABN-KOU-0026,PL-KOU-0026,Client Koubia Sud 26,"Niamey, Koubia, Secteur Sud, Rue 26",T2,02,GRP-KOU,Niamey,Koubia,Sud,1660
91000067,MT-KOU-0027,ABN-KOU-0027,PL-KOU-0027,Client Koubia Sud 27,"Niamey, Koubia, Secteur Sud, Rue 27",T3,01,GRP-KOU,Niamey,Koubia,Sud,1670
91000068,MT-KOU-0028,ABN-KOU-0028,PL-KOU-0028,Client Koubia Sud 28,"Niamey, Koubia, Secteur Sud, Rue 28",T1,02,GRP-KOU,Niamey,Koubia,Sud,1680
91000069,MT-KOU-0029,ABN-KOU-0029,PL-KOU-0029,Client Koubia Sud 29,"Niamey, Koubia, Secteur Sud, Rue 29",T2,01,GRP-KOU,Niamey,Koubia,Sud,1690
91000070,MT-KOU-0030,ABN-KOU-0030,PL-KOU-0030,Client Koubia Sud 30,"Niamey, Koubia, Secteur Sud, Rue 30",T3,02,GRP-KOU,Niamey,Koubia,Sud,1700
91000071,MT-KOU-0031,ABN-KOU-0031,PL-KOU-0031,Client Koubia Sud 31,"Niamey, Koubia, Secteur Sud, Rue 31",T1,01,GRP-KOU,Niamey,Koubia,Sud,1710
91000072,MT-KOU-0032,ABN-KOU-0032,PL-KOU-0032,Client Koubia Sud 32,"Niamey, Koubia, Secteur Sud, Rue 32",T2,02,GRP-KOU,Niamey,Koubia,Sud,1720
91000073,MT-KOU-0033,ABN-KOU-0033,PL-KOU-0033,Client Koubia Sud 33,"Niamey, Koubia, Secteur Sud, Rue 33",T3,01,GRP-KOU,Niamey,Koubia,Sud,1730
91000074,MT-KOU-0034,ABN-KOU-0034,PL-KOU-0034,Client Koubia Sud 34,"Niamey, Koubia, Secteur Sud, Rue 34",T1,02,GRP-KOU,Niamey,Koubia,Sud,1740
91000075,MT-KOU-0035,ABN-KOU-0035,PL-KOU-0035,Client Koubia Sud 35,"Niamey, Koubia, Secteur Sud, Rue 35",T2,01,GRP-KOU,Niamey,Koubia,Sud,1750
91000076,MT-KOU-0036,ABN-KOU-0036,PL-KOU-0036,Client Koubia Sud 36,"Niamey, Koubia, Secteur Sud, Rue 36",T3,02,GRP-KOU,Niamey,Koubia,Sud,1760
91000077,MT-KOU-0037,ABN-KOU-0037,PL-KOU-0037,Client Koubia Sud 37,"Niamey, Koubia, Secteur Sud, Rue 37",T1,01,GRP-KOU,Niamey,Koubia,Sud,1770
91000078,MT-KOU-0038,ABN-KOU-0038,PL-KOU-0038,Client Koubia Sud 38,"Niamey, Koubia, Secteur Sud, Rue 38",T2,02,GRP-KOU,Niamey,Koubia,Sud,1780
91000079,MT-KOU-0039,ABN-KOU-0039,PL-KOU-0039,Client Koubia Sud 39,"Niamey, Koubia, Secteur Sud, Rue 39",T3,01,GRP-KOU,Niamey,Koubia,Sud,1790
91000080,MT-KOU-0040,ABN-KOU-0040,PL-KOU-0040,Client Koubia Sud 40,"Niamey, Koubia, Secteur Sud, Rue 40",T1,02,GRP-KOU,Niamey,Koubia,Sud,1800
91000081,MT-KAL-0001,ABN-KAL-0001,PL-KAL-0001,Client Kalley Amirou 01,"Niamey, Kalley, Secteur Amirou, Rue 01",T1,01,GRP-KAL,Niamey,Kalley,Amirou,1810
91000082,MT-KAL-0002,ABN-KAL-0002,PL-KAL-0002,Client Kalley Amirou 02,"Niamey, Kalley, Secteur Amirou, Rue 02",T2,02,GRP-KAL,Niamey,Kalley,Amirou,1820
91000083,MT-KAL-0003,ABN-KAL-0003,PL-KAL-0003,Client Kalley Amirou 03,"Niamey, Kalley, Secteur Amirou, Rue 03",T3,01,GRP-KAL,Niamey,Kalley,Amirou,1830
91000084,MT-KAL-0004,ABN-KAL-0004,PL-KAL-0004,Client Kalley Amirou 04,"Niamey, Kalley, Secteur Amirou, Rue 04",T1,02,GRP-KAL,Niamey,Kalley,Amirou,1840
91000085,MT-KAL-0005,ABN-KAL-0005,PL-KAL-0005,Client Kalley Amirou 05,"Niamey, Kalley, Secteur Amirou, Rue 05",T2,01,GRP-KAL,Niamey,Kalley,Amirou,1850
91000086,MT-KAL-0006,ABN-KAL-0006,PL-KAL-0006,Client Kalley Amirou 06,"Niamey, Kalley, Secteur Amirou, Rue 06",T3,02,GRP-KAL,Niamey,Kalley,Amirou,1860
91000087,MT-KAL-0007,ABN-KAL-0007,PL-KAL-0007,Client Kalley Amirou 07,"Niamey, Kalley, Secteur Amirou, Rue 07",T1,01,GRP-KAL,Niamey,Kalley,Amirou,1870
91000088,MT-KAL-0008,ABN-KAL-0008,PL-KAL-0008,Client Kalley Amirou 08,"Niamey, Kalley, Secteur Amirou, Rue 08",T2,02,GRP-KAL,Niamey,Kalley,Amirou,1880
91000089,MT-KAL-0009,ABN-KAL-0009,PL-KAL-0009,Client Kalley Amirou 09,"Niamey, Kalley, Secteur Amirou, Rue 09",T3,01,GRP-KAL,Niamey,Kalley,Amirou,1890
91000090,MT-KAL-0010,ABN-KAL-0010,PL-KAL-0010,Client Kalley Amirou 10,"Niamey, Kalley, Secteur Amirou, Rue 10",T1,02,GRP-KAL,Niamey,Kalley,Amirou,1900
91000091,MT-KAL-0011,ABN-KAL-0011,PL-KAL-0011,Client Kalley Amirou 11,"Niamey, Kalley, Secteur Amirou, Rue 11",T2,01,GRP-KAL,Niamey,Kalley,Amirou,1910
91000092,MT-KAL-0012,ABN-KAL-0012,PL-KAL-0012,Client Kalley Amirou 12,"Niamey, Kalley, Secteur Amirou, Rue 12",T3,02,GRP-KAL,Niamey,Kalley,Amirou,1920
91000093,MT-KAL-0013,ABN-KAL-0013,PL-KAL-0013,Client Kalley Amirou 13,"Niamey, Kalley, Secteur Amirou, Rue 13",T1,01,GRP-KAL,Niamey,Kalley,Amirou,1930
91000094,MT-KAL-0014,ABN-KAL-0014,PL-KAL-0014,Client Kalley Amirou 14,"Niamey, Kalley, Secteur Amirou, Rue 14",T2,02,GRP-KAL,Niamey,Kalley,Amirou,1940
91000095,MT-KAL-0015,ABN-KAL-0015,PL-KAL-0015,Client Kalley Amirou 15,"Niamey, Kalley, Secteur Amirou, Rue 15",T3,01,GRP-KAL,Niamey,Kalley,Amirou,1950
91000096,MT-KAL-0016,ABN-KAL-0016,PL-KAL-0016,Client Kalley Amirou 16,"Niamey, Kalley, Secteur Amirou, Rue 16",T1,02,GRP-KAL,Niamey,Kalley,Amirou,1960
91000097,MT-KAL-0017,ABN-KAL-0017,PL-KAL-0017,Client Kalley Amirou 17,"Niamey, Kalley, Secteur Amirou, Rue 17",T2,01,GRP-KAL,Niamey,Kalley,Amirou,1970
91000098,MT-KAL-0018,ABN-KAL-0018,PL-KAL-0018,Client Kalley Amirou 18,"Niamey, Kalley, Secteur Amirou, Rue 18",T3,02,GRP-KAL,Niamey,Kalley,Amirou,1980
91000099,MT-KAL-0019,ABN-KAL-0019,PL-KAL-0019,Client Kalley Amirou 19,"Niamey, Kalley, Secteur Amirou, Rue 19",T1,01,GRP-KAL,Niamey,Kalley,Amirou,1990
91000100,MT-KAL-0020,ABN-KAL-0020,PL-KAL-0020,Client Kalley Amirou 20,"Niamey, Kalley, Secteur Amirou, Rue 20",T2,02,GRP-KAL,Niamey,Kalley,Amirou,2000
91000101,MT-KAL-0021,ABN-KAL-0021,PL-KAL-0021,Client Kalley Amirou 21,"Niamey, Kalley, Secteur Amirou, Rue 21",T3,01,GRP-KAL,Niamey,Kalley,Amirou,2010
91000102,MT-KAL-0022,ABN-KAL-0022,PL-KAL-0022,Client Kalley Amirou 22,"Niamey, Kalley, Secteur Amirou, Rue 22",T1,02,GRP-KAL,Niamey,Kalley,Amirou,2020
91000103,MT-KAL-0023,ABN-KAL-0023,PL-KAL-0023,Client Kalley Amirou 23,"Niamey, Kalley, Secteur Amirou, Rue 23",T2,01,GRP-KAL,Niamey,Kalley,Amirou,2030
91000104,MT-KAL-0024,ABN-KAL-0024,PL-KAL-0024,Client Kalley Amirou 24,"Niamey, Kalley, Secteur Amirou, Rue 24",T3,02,GRP-KAL,Niamey,Kalley,Amirou,2040
91000105,MT-KAL-0025,ABN-KAL-0025,PL-KAL-0025,Client Kalley Amirou 25,"Niamey, Kalley, Secteur Amirou, Rue 25",T1,01,GRP-KAL,Niamey,Kalley,Amirou,2050
91000106,MT-KAL-0026,ABN-KAL-0026,PL-KAL-0026,Client Kalley Amirou 26,"Niamey, Kalley, Secteur Amirou, Rue 26",T2,02,GRP-KAL,Niamey,Kalley,Amirou,2060
91000107,MT-KAL-0027,ABN-KAL-0027,PL-KAL-0027,Client Kalley Amirou 27,"Niamey, Kalley, Secteur Amirou, Rue 27",T3,01,GRP-KAL,Niamey,Kalley,Amirou,2070
91000108,MT-KAL-0028,ABN-KAL-0028,PL-KAL-0028,Client Kalley Amirou 28,"Niamey, Kalley, Secteur Amirou, Rue 28",T1,02,GRP-KAL,Niamey,Kalley,Amirou,2080
91000109,MT-KAL-0029,ABN-KAL-0029,PL-KAL-0029,Client Kalley Amirou 29,"Niamey, Kalley, Secteur Amirou, Rue 29",T2,01,GRP-KAL,Niamey,Kalley,Amirou,2090
91000110,MT-KAL-0030,ABN-KAL-0030,PL-KAL-0030,Client Kalley Amirou 30,"Niamey, Kalley, Secteur Amirou, Rue 30",T3,02,GRP-KAL,Niamey,Kalley,Amirou,2100
91000111,MT-KAL-0031,ABN-KAL-0031,PL-KAL-0031,Client Kalley Amirou 31,"Niamey, Kalley, Secteur Amirou, Rue 31",T1,01,GRP-KAL,Niamey,Kalley,Amirou,2110
91000112,MT-KAL-0032,ABN-KAL-0032,PL-KAL-0032,Client Kalley Amirou 32,"Niamey, Kalley, Secteur Amirou, Rue 32",T2,02,GRP-KAL,Niamey,Kalley,Amirou,2120
91000113,MT-KAL-0033,ABN-KAL-0033,PL-KAL-0033,Client Kalley Amirou 33,"Niamey, Kalley, Secteur Amirou, Rue 33",T3,01,GRP-KAL,Niamey,Kalley,Amirou,2130
91000114,MT-KAL-0034,ABN-KAL-0034,PL-KAL-0034,Client Kalley Amirou 34,"Niamey, Kalley, Secteur Amirou, Rue 34",T1,02,GRP-KAL,Niamey,Kalley,Amirou,2140
91000115,MT-KAL-0035,ABN-KAL-0035,PL-KAL-0035,Client Kalley Amirou 35,"Niamey, Kalley, Secteur Amirou, Rue 35",T2,01,GRP-KAL,Niamey,Kalley,Amirou,2150
91000116,MT-KAL-0036,ABN-KAL-0036,PL-KAL-0036,Client Kalley Amirou 36,"Niamey, Kalley, Secteur Amirou, Rue 36",T3,02,GRP-KAL,Niamey,Kalley,Amirou,2160
91000117,MT-KAL-0037,ABN-KAL-0037,PL-KAL-0037,Client Kalley Amirou 37,"Niamey, Kalley, Secteur Amirou, Rue 37",T1,01,GRP-KAL,Niamey,Kalley,Amirou,2170
91000118,MT-KAL-0038,ABN-KAL-0038,PL-KAL-0038,Client Kalley Amirou 38,"Niamey, Kalley, Secteur Amirou, Rue 38",T2,02,GRP-KAL,Niamey,Kalley,Amirou,2180
91000119,MT-KAL-0039,ABN-KAL-0039,PL-KAL-0039,Client Kalley Amirou 39,"Niamey, Kalley, Secteur Amirou, Rue 39",T3,01,GRP-KAL,Niamey,Kalley,Amirou,2190
91000120,MT-KAL-0040,ABN-KAL-0040,PL-KAL-0040,Client Kalley Amirou 40,"Niamey, Kalley, Secteur Amirou, Rue 40",T1,02,GRP-KAL,Niamey,Kalley,Amirou,2200
91000121,MT-PLA-0001,ABN-PLA-0001,PL-PLA-0001,Client Plateau Centre 01,"Niamey, Plateau, Secteur Centre, Rue 01",T1,01,GRP-PLA,Niamey,Plateau,Centre,2210
91000122,MT-PLA-0002,ABN-PLA-0002,PL-PLA-0002,Client Plateau Centre 02,"Niamey, Plateau, Secteur Centre, Rue 02",T2,02,GRP-PLA,Niamey,Plateau,Centre,2220
91000123,MT-PLA-0003,ABN-PLA-0003,PL-PLA-0003,Client Plateau Centre 03,"Niamey, Plateau, Secteur Centre, Rue 03",T3,01,GRP-PLA,Niamey,Plateau,Centre,2230
91000124,MT-PLA-0004,ABN-PLA-0004,PL-PLA-0004,Client Plateau Centre 04,"Niamey, Plateau, Secteur Centre, Rue 04",T1,02,GRP-PLA,Niamey,Plateau,Centre,2240
91000125,MT-PLA-0005,ABN-PLA-0005,PL-PLA-0005,Client Plateau Centre 05,"Niamey, Plateau, Secteur Centre, Rue 05",T2,01,GRP-PLA,Niamey,Plateau,Centre,2250
91000126,MT-PLA-0006,ABN-PLA-0006,PL-PLA-0006,Client Plateau Centre 06,"Niamey, Plateau, Secteur Centre, Rue 06",T3,02,GRP-PLA,Niamey,Plateau,Centre,2260
91000127,MT-PLA-0007,ABN-PLA-0007,PL-PLA-0007,Client Plateau Centre 07,"Niamey, Plateau, Secteur Centre, Rue 07",T1,01,GRP-PLA,Niamey,Plateau,Centre,2270
91000128,MT-PLA-0008,ABN-PLA-0008,PL-PLA-0008,Client Plateau Centre 08,"Niamey, Plateau, Secteur Centre, Rue 08",T2,02,GRP-PLA,Niamey,Plateau,Centre,2280
91000129,MT-PLA-0009,ABN-PLA-0009,PL-PLA-0009,Client Plateau Centre 09,"Niamey, Plateau, Secteur Centre, Rue 09",T3,01,GRP-PLA,Niamey,Plateau,Centre,2290
91000130,MT-PLA-0010,ABN-PLA-0010,PL-PLA-0010,Client Plateau Centre 10,"Niamey, Plateau, Secteur Centre, Rue 10",T1,02,GRP-PLA,Niamey,Plateau,Centre,2300
91000131,MT-PLA-0011,ABN-PLA-0011,PL-PLA-0011,Client Plateau Centre 11,"Niamey, Plateau, Secteur Centre, Rue 11",T2,01,GRP-PLA,Niamey,Plateau,Centre,2310
91000132,MT-PLA-0012,ABN-PLA-0012,PL-PLA-0012,Client Plateau Centre 12,"Niamey, Plateau, Secteur Centre, Rue 12",T3,02,GRP-PLA,Niamey,Plateau,Centre,2320
